==================================================
Index   Attendance   Practice   Exam   Final Score
==================================================
00001           67         10     37         31.90
00002           69         84     82         81.30
00003           26         58     11         26.60
00004            4         45     52         45.10
00005           81         33     50         48.00
00006           38         72     37         47.60
00007           59         61     56         57.80
00008            4         49     70         57.10
00009           33         54     49         48.90
00010            6          4     29         19.20
00011           95         66     25         44.30
00012           68         25      4         16.70
00013           44          6     99         65.60
00014           42         98     51         64.20
00015           34         62     34         42.40
00016           42          7     89         59.70
00017           97         36     89         73.90
00018           44         51     64         58.10
00019           73         79     55         64.00
00020           27         97     40         55.80
00021           25         50     86         69.10
00022           96          6     61         48.00
00023           39         28     15         21.30
00024           35         71     63         62.60
00025           54         88     30         49.80
00026           66          5     65         47.10
00027            3         32     84         60.30
00028           38         88     82         79.40
00029           34         96     67         72.40
00030            2         31     70         51.50
00031           20         88     12         35.60
00032           41         30     37         35.30
00033            2         35     78         57.50
00034           28         55     92         74.50
00035           97         73     78         78.40
00036           74         10     19         21.80
00037           86         91      4         38.30
00038           29         98     48         61.10
00039           37         57     52         52.00
00040           45         95     73         76.80
00041           75         22     94         70.50
00042           82         33     60         54.10
00043           50         85     44         56.90
00044           83          6     11         16.70
00045            7          6     82         51.70
00046           92          8     94         68.00
00047           81         59     53         57.60
00048           80         18     13         21.20
00049           71         94     43         61.10
00050           64         79     94         86.50
00051           98         94     44         64.40
00052           11         23     34         28.40
00053           39          4     75         50.10
00054           40         34     32         33.40
00055           12         31     98         69.30
00056           81         69     68         69.60
00057           82         19     79         61.30
00058           73         69     98         86.80
00059           67         81     39         54.40
00060           91         14     82         62.50
00061           33          0     95         60.30
00062           99         93     27         54.00
00063           40         40     72         59.20
00064           11         16     62         43.10
00065           42         91     83         81.30
00066           91         45     28         39.40
00067           86         53     42         49.70
00068           86         64     33         47.60
00069           52         24     81         61.00
00070           60         74     51         58.80
00071           47         73     59         62.00
00072           62         18     54         44.00
00073           52         43      4         20.50
00074           76         90     61         71.20
00075           93         47      9         28.80
00076           35         95     75         77.00
00077           52          0      1          5.80
00078           63         34     47         44.70
00079           65         88      4         35.30
00080            4         40     77         58.60
00081           51          3     37         28.20
00082           12         85     85         77.70
==================================================
Mean         52.37      49.85  54.42         52.85
==================================================
